path,type,required,label,opendata,generated,description,thesaurus,,,,,,,
PRODUCTEUR,String,non,Producteur,,true,"Producteur de la donnée déterminé grâce à la référence :

      Si la REF commence par IVN ou IVR ou IVD ou IVC, alors PRODUCTEUR=INV

      Si la condition du dessus n'est pas respectée et la REF commence par OA, alors PRODUCTEUR = CAOA

      Si les conditions du dessus ne sont pas respectées et la REF commence par MH, alors PRODUCTEUR = CRMH

      Si les conditions du dessus ne sont pas respectées et la REF commence par AR, alors PRODUCTEUR = ARCH

      Si les conditions du dessus ne sont pas respectées et la REF commence par AP et IDPROD commence par Service départemental, alors PRODUCTEUR = UDAP

      Si les conditions du dessus ne sont pas respectées et la IDPROD commence par SAP ou EMET commence par SAP, alors PRODUCTEUR = MAP

      Sinon PRODUCTEUR = AUTRE
",,,,,,,,
PUBLI,String,non,Référence de publication de l'image,,,"Auteur, titre, lieu, éditeur, date",,,,,,,,
REF,String,oui,Référence,,,"Référence unique de la notice. Doit contenir uniquement des lettres majuscules de A à Z, des chiffres de 0 à 9 et le tiret bas.",,,,,,,,
REFIM,String,non,Référence de l'image,,,,,,,,,,,
REFIMG,String,non,Nom Image,,,"Nom Image. Déprécié dans POP mais utilisé dans certains imports ( import MH dans Mémoire pour les REF : IV,OA,MH,AR,AP )",,,,,,,,
REFJOC,Array,non,Référence aux objets Joconde,,true,REFJOC contient une ou plusieurs références de notice Joconde.,,,,,,,,
REFMUS,Array,non,Référence aux objets Muséo,,true,REFMUS contient une ou plusieurs références de notice Muséo.,,,,,,,,
REG,Array,non,Région,,,,,,,,,,,
RENV,String,non,Phototype(s) en relation,,,,,,,,,,,
REPRO,String,non,Numéro de reproduction,,,Contient le numéro du fichier numérique,,,,,,,,
ROLE,String,non,Rôle interprété,,,Nom de l'acteur : nom du personnage joué,,,,,,,,
SCLE,Array,non,Siècle de l'œuvre,,,12e ; 18e (fin),,,,,,,,
SENS,String,non,Orientation du phototype,,,"V, H, C, O",,,,,,,,
SERIE,Array,non,Titre de la série,,,,,,,,,,,
SITE,String,non,Site,,,,,,,,,,,
STRUCT,String,non,Structure,,,,,,,,,,,
SUJET,String,non,Sujet représenté par la photographie ou le document graphique,,,,,,,,,,,
SUP,String,non,Support,,,,,,,,,,,
TECHN,String,non,Description technique du négatif,,,,,,,,,,,
TECHOR,String,non,Description technique de l'original,,,,,,,,,,,
TECHTI,String,non,Description technique du tirage,,,,,,,,,,,
THEATRE,String,non,Lieu de représentation,,,,,,,,,,,
TICO,String,non,Titre courant de l'œuvre,,,,,,,,,,,
TIREDE,String,non,Référence bibliographique ou documentaire,,,,,,,,,,,
TITRE,String,non,Titre de la pièce de théâtre ou du film,,,,,,,,,,,
TOUT,String,non,Index global,,,Index global [Peut etre déprécié],,,,,,,,
TRL,String,non,Technique de relevé du graphique,,,,,,,,,,,
TYP,String,non,Type,,,Type  [Qu'est ce que c'est ?],,,,,,,,
TYPDOC,String,non,Catégorie de phototype,,,"Négatif, Positif original, Image numérique, Tirage photographique, Reproduction. Affiche un avertissement si vide.",,,,,,,,
TYPEIMG,String,non,Type d'image numérique,,,Forme : oui ou non selon qu'on charge ou non une image,,,,,,,,
TYPSUPP,String,non,Type de support numérique,,,Doublon de TYPSN utilisé dans les versements plus récents ; valeur : DS1,,,,,,,,
VIDEO,String,non,Vidéo,,,Vidéo [Semble être doublon avec IMG],,,,,,,,
VUECD,String,non,No vue CD,,,No vue CD,,,,,,,,
WADRS,Array,non,Adresse éditoriale,,,Adresse éditoriale,,,,,,,,
WCOM,Array,non,Ville,,,Ville [Quelle difference avec COM ?],,,,,,,,
